3,4-Diaminopyridine	N07XX05
Eklira Genuair	R03BB05
Ekvacillin	J01CF02
Elaprase	A16AB09
Eldepryl	N04BD01
Eldisine	L01CA03
Eldisine campus	L01CA03
Eldisine euromedica	L01CA03
Eldisine life	L01CA03
Electrolyte deficiency	A11JB
Elidel	D11AH02
Eligard	L02AE02
Eliquis	B01AF02
Elmiron	C05BA04
Elocon	D07AC13
Elonva	G03GA09
Eloxatin	L01XA03
Elspar	L01XX02
Elvanse	N06BA12
Emadine	S01GX06
Emagel	B05AA06
Emconcor	C07AB07
Emconcor CHF	C07AB07
Emend	A04AD12
Emgesan	G04BX01
Emla	N01BB20
Emselex	G04BD10
Emtriva	J05AF09
Enalapril Comp Sandoz	C09BA02
Enalapril Comp ratiopharm	C09BA02
Enalapril Krka	C09AA02
Enalapril SA	C09AA02
Enalapril Sandoz	C09AA02
Enalapril/Hydrochlortiazid Hexal	C09BA02
Enalaprilat	C09AA02
Enalaprilmaleat SA	C09AA02
Enanton Depot Set	L02AE02
Enbrel	L04AB01
Endofalk	A06AD65
Engerix-B	J07BC01
Enlon	V04CX
Entocort	A07EA06
Entyvio	L04AA33
Enzym-Complete/DPP-IV	A09AA02
Epaxal	J07BC02
EpiPen	C01CA24
EpiPen Jr	C01CA24
Epiduo	D10AD53
Epinat	N03AB02
Epirubicin Actavis	L01DB03
Epirubicin Hospira	L01DB03
Epirubicin Teva	L01DB03
Epirubicin medac	L01DB03
Epistatus	N05CD08
Epistatus campus	N05CD08
Epivir	J05AF05
Epoprostenol Campuspharma	B01AC09
Eposin	L01CB01
Eprex	B03XA01
Equasym Depot	N06BA04
Erbitux	L01XC06
Ercoquin	P01BA02
Ercoril	A03AB05
Eremfat	J04AB02
Ergenyl chrono	N03AG01
Erivedge	L01XX43
Erwinase	L01XX02
Ery-Max	J01FA01
Erythroforte	J01FA01
Erythroped A	J01FA01
Esbriet	L04AX05
Escitalopram Actavis	N06AB10
Escitalopram Teva	N06AB10
Esidrex	C03AA03
Eskazole	P02CA03
Esmeron	M03AC09
Esmya	G03XB02
Esomeprazol Actavis	A02BC05
Esomeprazol Krka	A02BC05
Esomeprazol Pensa	A02BC05
Esomeprazol Sandoz	A02BC05
Esopral	A02BC05
Estalis	G03FA01
Estradot	G03CA03
Estradurin	L02AA02
Estring	G03CA03
Estrofem	G03CA03
Estrogel	G03CA03
Esucos	N05AB01
Etalpha	A11CC03
Etanol	V03AB16
Etanol SA	V07A
Etanol steril	V03AZ01
Eter NAF	V07AZ
Eter NAF til medisinsk bruk	V03AX
Ethinyl-Oestradiol	G03CA01
Etinyløstradiol	G03CA01
Etopofos	L01CB01
Eucreas	A10BD08
Eukalyptushonning NAF	R05CA10
Eulexin	L02BB01
Eurax	D04AX
Euro-collins-løsning	B05
European standard s-1000	V04CL
Euthyrox	H03AA01
Eviana	G03FA01
Evicel	B02BC30
Eviplera	J05AR08
Evista	G03XC01
Evoltra	L01BB06
Evorel	G03CA03
Evra	G03AA13
Exelon	N06DA03
Exforge	C09DB01
Exforge HCT	C09DX01
Exjade	V03AC03
Exocin	S01AE01
Extavia	L03AB08
Extraneal	B05DA
Eylea	S01LA05
Ez-Cat Bariumsulfat	V08BA01
Ezetrol	C10AX09
Fabrazyme	A16AB04
Famotidin	A02BA03
Famotidin Hexal	A02BA03
Fampyra	N07XX07
Famvir	J05AB09
Fanalgin	N02BB51
Farmorubicin	L01DB03
Fasigyn	P01AB02
Faslodex	L02BA03
Fasturtec	V03AF07
Feiba	B02BD03
Felden	M01AC01
Felodipin Hexal	C08CA02
Felodipin ratiopharm	C08CA02
Femar	L02BG04
Femara	L02BG04
Feminil	G03HB01
Fenazon-Koffein	N02BB51
Fenazon-Koffein Sterke	N02BB51
Fendrix	J07BC01
Fenemal	N03AA02
Fenemal NAF	N03AA02
Fenemal Recip	N03AA02
Fenistil	D04AA13
Fenobarbital	N03AA02
Fenobarbital SA	N03AA02
Fenobarbital med lakris ullevål	N03AA02
Fenobarbitalnatrium	N03AA02
Fenobarbitalnatrium NAF	N03AA02
Fenofibrat	C10AB05
Fenofibrat Retard	C10AB05
Fenol flytende SA	S02
Fentanyl Actavis	N01AH01
Fentanyl Sandoz	N02AB03
Fentanyl ratiopharm	N02AB03
Fentanyl-Hameln	N01AH01
Fenylefrin Abcur	C01CA06
Fenylefrin SA	S01FB01
Fenylefrin rikshosp	C01CA06
Fenylefrinhydroklorid	C01CA06
Fenytoin	N03AB02
Fenytoin NAF	N03AB02
Ferinject	B03AC
Ferriprox	V03AC02
Ferrlecit	B03AC
Ferrologic	B03AC
Ferromax	B03AA07
Fevarin	N06AB08
Fibrogammin P	B02BD07
Finacea	D10AX03
Finasterid Actavis	G04CB01
Finasterid Amneal	G04CB01
Finasterid Pfizer	G04CB01
Finminette	G03AA12
Firazyr	B06AC02
Firdapse	N07XX05
Firmagon	L02BX02
Fitoprost	G04CX02
Flagyl	P01AB01
Flamazine	D06BA01
Flamazine Life	D06BA01
Flamazine euromedica	D06BA01
Flamazine specific	D06BA01
Flecainid Sandoz	C01BC04
Fleet Phospho-soda	A06AD17
Flekainid SA	C01BC04
Flekainid ullevål	C01BC04
Flexbumin	B05AA01
Flolan	B01AC09
Florinef	H02AA02
Fluanxol	N05AF01
Fluanxol Depot	N05AF01
Fluarix	J07BB02
Fluconazol Actavis	J02AC01
Fluconazol B. Braun	J02AC01
Fluconazol Bluefish	J02AC01
Fluconazol Claris	J02AC01
Fluconazol Krka	J02AC01
Fluconazol Villerton	J02AC01
Fluconazole Teva	J02AC01
Fludara	L01BB05
Fludarabin Actavis	L01BB05
Fludarabine Pharmachemie	L01BB05
Fludrokortisonacetat SA	H02AA02
Fluenz	J07BB03
Fluenz Tetra	J07BB03
Flumazenil Actavis	V03AB25
Flumazenil Fresenius Kabi	V03AB25
Flumazenil Hameln	V03AB25
Flunipam	N05CD03
Flunitrazepam	N05CD03
Fluocinonid SA	D07AC08
Fluor Protector	A01AA
Fluoresceinnatrium Minims	S01JA01
Fluorette	A01AA01
Fluorid	A01AA01
Fluorouracil Accord	L01BC02
Fluorouracil Hospira	L01BC02
Fluoxetin Mylan	N06AB03
Fluoxetin Sandoz	N06AB03
Fluoxetin ratiopharm	N06AB03
Fluoxetine Vitabalans	N06AB03
Flurablastin	L01BC02
Fluress	S01JA51
Flurolon	S01BA07
Flutamid Orion	L02BB01
Flutide	R03BA05
Flutide Nasal	R01AD08
Flutiform	R03AK11
Flutivate	D07AC17
Flux	A01AA01
Folinic-folic acid	V03AF
Folsan	B03BB01
Folsyre NAF	B03BB01
Fomepizole	V03AB34
Fomepizole Eusa Pharma	V03AB34
Fontex	N06AB03
Forene	N01AB06
Forkjølelsesmikstur NAF	R05CA10
Formaldehyd SA	V07A
Forsteo	H05AA02
Fortecortin	H02AB02
Fortecortin Gevita	H02AB02
Fortecortin life medical	H02AB02
Fortum	J01DD02
Fortynnet Saltsyre NAF	A09AB03
Forxiga	A10BX09
Fosamax	M05BA04
Fosavance	M05BB03
Foscan	L01XD05
Foscavir	J05AD01
Foscavir campus	J05AD01
Foscavir orifarm	J05AD01
Foscavir specific	J05AD01
Fosfat SA	A12CX
Fosfatbuffer pH 7,4 SA	V07A
Fosfatbuffer reagens IGRI SA	V07A
Fosrenol	V03AE03
Fostimon	G03GA04
Fotil	S01ED51
Fotil Forte	S01ED51
Fragmin	B01AB04
Frisium	N05BA09
Fruktose SA	V07A
Frølichs Hostemikstur NAF	R05CA10
Fucibet	D07CC01
Fucidin	D06AX01
Fucidin-Hydrocortison	D07CA01
Fucithalmic	S01AA13
Ful-Glo	S01JA01
Fulcin	D01BA01
Fumaderm	D05BX51
Fumaderm Initial	D05BX51
Fungizone	J02AA01
Fungoral	D01AC08
Furadantin	J01XE01
Furantoina	J01XE01
Furix	C03CA01
Furix Retard	C03CA01
Furosemid	C03CA01
Furosemide Claris	C03CA01
Fycompa	N03AX22
GI Sustain	V06DB
Gaba 2	N03AG03
Gaba2	N03AG03
Gabapentin	N03AX12
Gabapentin SA	N03AX12
Gabbroral	A07AA06
Gabitril	N03AG06
Gadovist	V08CA09
Galantamin Krka	N06DA04
Galieve	A02BX13
Galvus	A10BH02
Gambrosol Trio 40	B05D
Gammanorm	J06BA01
Ganfort	S01ED51
Gardasil	J07BM01
Gastrografin	V08AA01
Gaviscon	A02BX13
Gelaspan	B05AA06
Gelfoam dent tamponger	A01AD11
Gelfoam dent tamponger size 12	A01AD11
Gelofusine	B05AA06
Gem	A07CA
Gemcitabin Actavis	L01BC05
Gemcitabin Fresenius Kabi	L01BC05
Gemcitabin Hospira	L01BC05
Gemcitabine Accord	L01BC05
Gemzar	L01BC05
Genotropin	H01AC01
Gensumycin	J01GB03
Gentamicin B. Braun	J01GB03
Gentamicin Paediatric	J01GB03
Gentamicin Paediatric campus	J01GB03
Gentamicin Paediatric life	J01GB03
Gentamicin SA	J01GB03
Gentamicin paediatric	J01GB03
Gentamicin paediatric life	J01GB03
Gentamicin-POS	S01AA11
Gestone	G03DA04
Ghrh-ferring	V04CD05
Gilenya	L04AA27
Gingi-Aid Z-Twist 12171 #1 Thin	D08AB
Gingi-Aid Z-Twist 12172 #2 Medium	D08AB
Gingi-Aid Z-Twist 12173 #3 Thick	A01A
Gingi-Pak Cord 2-ply 10120	A01AD01
Gingi-Pak Soft-Twist 10105 Cord #1 Thin	A01AD01
Gingi-Pak Soft-Twist 10110 Cord #2 Medium	A01AD01
Gingi-Pak Soft-Twist 10115 Cord #3 Thick	A01AD01
Gingi-Pak Z-Twist 10171 #1 Thin	A01AD01
Gingi-Pak Z-Twist 10172 #2 Medium	A01AD01
Gingi-Pak Z-Twist 10173 #3 Thick	A01AD01
Ginkgo	N06DX02
Giona Easyhaler	R03BA02
Giotrif	L01XE13
Glauprost	S01EE01
Glavamin	B05BA01
Glibenclamid ratiopharm	A10BB01
Glimepirid Hexal	A10BB12
Glimepirid Mylan	A10BB12
Glimepirid Teva	A10BB12
Gliolan	L01XD04
Glivec	L01XE01
Globoid	N02BA01
Glucagon Novo Nordisk	H04AA01
Gluco +	A11
Gluco+	A11
Glucobay	A10BF01
Glucophage	A10BA02
Glucos	B05BA03
Glucos B. Braun	B05BA03
Glucos Baxter Viaflo	B05BA03
Glucos Braun	B05BA03
Glucos Fresenius Kabi	B05BA03
Glucosamin Orifarm	M01AX05
Glucosamin Pharma Nord	M01AX05
Glucosamine Plus	M01AX
Glucosamine Plus Extra Strength	M01AX
Glucose	B05BA03
Glucose-Na-K	B05BB02
Glucose-Na-K baxter	B05BB02
Glukos fresenius kabi	B05BA03
Glukose B. Braun	B05BA03
Glukose NAF	V04CA02
Glukose SA	B05BA03
Glukose m/saltsyre SA	V07A
Glukosel	B05BB02
Glycerol glidemiddel	D02A
Glycerol steril	D02A
Glyceryl trinitrat	C01DA02
Glyceryl trinitrate	C01DA02
Glycerylnitrat	C01DA02
Glycerylnitrat i Essex	C05AE01
Glycerylnitrat i Essex krem	C05AE01
Glycine	A16AA
Glycophos	B05XA14
Glycopyrrolate	A03AB02
Glypressin	H01BA04
Glyserol SA	S01X
Glyserol i Na kl SA	V03A
Glyseroltrinitrat SA	C01DA02
Gonal-F	G03GA05
Gopten	C09AA10
Granisetron	A04AA02
Granupas	J04AA01
Grazax	V01AA02
Guanethidine	C02CC02
Gutron	C01CA17
H-F Antidote	V03AB
H-f antidote	V03AB
HCL-Zyme	A09AC02
Haemaccel	B05AA06
Haemate	B02BD06
Halaven	L01XX41
Halcion	N05CD05
Haldol	N05AD01
Haldol Depot	N05AD01
Halothane	N01AB01
Hamburgerte NAF	A06AB56
Havrix	J07BC02
Helixate NexGen	B02BD02
Heminevrin	N05CM02
Hemorroidesalve NAF	C05AX03
Hemosol B0	B05ZB
Hepaflex	B01AB01
Heparin LEO	B01AB01
Heparin Leo	B01AB01
Heparin SA	B01AB01
Heparin Sodium	B01AB01
Heparin Sodium SA	B01AB01
Heparinnatrium	B01AB01
Heparinnatrium u/kons	B01AB01
Hepasunate	P01BE03
Hepatect	J06BB04
Hepatect CP	J06BB04
Hepatitis B Immunglobuline	J06BB04
Hepsera	J05AF08
Heracillin	J01CF05
Herceptin	L01XC03
Hesra	B05AA07
Hexabrix	V08AB03
Hexvix	V04CX
HiBi	D08AC02
Hibiscrub	D08AC02
Hibitane	D08AC02
Hidrasec	A07XA04
Hiprex	J01XX05
Hirudo medicinalis blodigler	C05
Hirudoid	C05BA01
Hizentra	J06BA01
Hjertemagnyl	B01AC06
Hoffmannsdråper NAF	V03AX
Holoxan	L01AA06
Hostesaft for barn NAF	R05CA10
Humalog	A10AB04
Humalog KwikPen	A10AB04
Humalog Mix25	A10AD04
Humalog Mix25 KwikPen	A10AD04
Humatin	A07AA06
Humatrope	H01AC01
Humira	L04AB04
Humulin NPH	A10AC01
Humulin NPH Kwikpen	A10AC01
Humulin R	A10AB01
Hvit kamferolje NAF	M02AX10
Hvit vask - Sinkliniment NAF	D04AX
HyQvia	J06BA01
Hycamtin	L01XX17
Hydralazine	C02DB02
Hydrea	L01XX05
Hydrochlorothiazide Orifarm	C03AA03
Hydrocortisone	H02AB09
Hydrogenperoksyd SA	D08AX01
Hydrokinon SA	D10AD51
Hydrokinon/Tretionin SA	D02A
Hydroklortiazid SA	C03AA03
Hydrokon NAF	R05DA03
Hydrokortison	H02AB09
Hydrokortison CCS	D07AA02
Hydrokortison Clean Chemical Sweden	D07AA02
Hydrokortison SA	A01AC03
Hydrokortison i karbamidkrem SA	D07AA
Hydrokortison-Sitronsyre SA	D07AA
Hydrokortison/Svovel i cetylan SA	D07AA
Hydroxocobalamine	B03BA03
Hydroxyurea Medac	L01XX05
Hygroton	C03BA04
Hylase	B06AA03
HyperHAES	B05AA07
Hypericum STADA	N06AX25
Hypnomidate	N01AX07
HypoCol	C10
Hypochylin	A09AB01
Hypoloc	C07AB12
Hypoloc Comp	C07BB12
Hyprosan	S01XA20
Hypurin Bovine	A10AB02
Hypurin Bovine Protamine Zinc	A10AE02
ICG-Pulsion	V04CX
ICG-Pulsion life	V04CX
ICG-Pulsion orifarm	V04CX
INOmax	R07AX
INexium	A02BC05
Ibaril	D07AC03
Ibumax	M01AE01
Ibumetin	M02AA13
Ibuprofen ratiopharm	M01AE01
Ibuprox	M01AE01
Ibux	M02AA13
Iclusig	L01XE24
Idebenone	N06BX13
Iducher	S01AD01
Ilaris	L04AC08
Ilomedin	B01AC11
Imacillin	J01CA04
Imdur	C01DA14
Imigran	N02CC01
Imigran Juvenil	N02CC01
Imigran Radis	N02CC01
Imipenem/Cilastatin Actavis	J01DH51
Imipenem/Cilastatin Hospira	J01DH51
Immunine	B02BD04
Immunothione	A11EX
Imnovid	L04AX06
Imodium	A07DA03
Imodium Comp	A07DA53
Imogas	A03AX13
Imovane	N05CF01
Imovax Polio	J07BF03
Importal	A06AD12
Imukin	L03AB03
Imunovir	J05AX05
Imurel	L04AX01
Incivo	J05AE11
Increlex	H01AC03
Inderal	C07AA05
Inderal Retard	C07AA05
Indigo Carmine campus	V04CH02
Indigo Carmine life medical	V04CH02
Indigocarmin	V04CH02
Indivina	G03FA12
Indo-CT	M01AB01
Indo-paed	M01AB01
Indocid pda	C01EB03
Indomet	M01AB01
InductOs	M05BC01
Inegy	C10BA02
Infanrix-Polio + Hib	J07CA06
Inflectra	L04AB02
Infloran	A07FA
Influvac	J07BB02
Inlyta	L01XE17
Innohep	B01AB10
Inotyol	D05AA
Inovelon	N03AF03
Insidon	N06AA05
Inspra	C03DA04
Instanyl	N02AB03
Insulatard FlexPen	A10AC01
Insulatard InnoLet	A10AC01
Insulatard Penfill	A10AC01
Insulin Actrapid SA	A10AB05
Insulin Mixtard 30/70	A10AD03
Insulin aspart SA	A10AB05
Insulin glulisin SA	A10AB06
Insulin lispro SA	A10AB04
Insuman Basal	A10AC01
Insuman Rapid	A10AB01
Inte-Zyme	A09AA02
Integrilin	B01AC16
Intelence	J05AG04
InterFase Plus	A09AC02
Intralipid	B05BA02
Intrinsa	G03BA03
IntronA	L03AB05
Inuxair	R03AK08
Invanz	J01DH03
Invirase	J05AE01
Iodosorb	D08AG03
Iomeron	V08AB10
Iopidine	S01EA03
Ipratropiumbromid Arrow	R03BB01
Ipraxa	R03BB01
Ipren	M01AE01
Ipstyl	H01CB03
Ipstyl Autogel	H01CB03
Irbesartan Actavis	C09CA04
Irbesartan Sandoz	C09CA04
Irbesartan/Hydrochlorothiazide Sandoz	C09DA04
Irbesartan/Hydroklortiazid Actavis	C09DA04
Iressa	L01XE02
Irinokabi	L01XX19
Irinotecan Accord	L01XX19
Irinotecan Actavis	L01XX19
Irinotecan Fresenius Kabi	L01XX19
Irinotecan Hospira	L01XX19
Isentress	J05AX08
Ismelin	C02CC02
Ismelin life	C02CC02
Ismo	C01DA14
Ismo Retard	C01DA14
Isofluran	N01AB06
Isoniazid NAF	J04AC01
Isoniazid SA	J04AC01
Isoprenalin NAF	C01CA02
Isoprenalina life	C01CA02
Isoprinosine	J05AX05
Isoptin	C08DA01
Isoptin KHK retard	C08DA01
Isoptin RR	C08DA01
Isoptin Retard	C08DA01
Isoptin life	C08DA01
Isopto-Carbachol	S01EB02
Isopto-Maxidex	S01BA01
Isosorbidmononitrat Mylan	C01DA14
Isotretinoin Orifarm	D10BA01
Ivemend	A04AD12
Ixiaro	J07BA02
Ixoten	L01AA07
Jakavi	L01XE18
Janumet	A10BD07
Januvia	A10BH01
Javlor	L01CA05
Jaydess	G02BA03
Jentadueto	A10BD11
Jetrea	S01XA22
Jevtana	L01CD04
Jext	C01CA24
Jod NAF	D08AG03
Johimbin NAF	G04BE04
K-Phos Neutral	G04BA
KA-Vit euromedica	B02BA01
KA-Vit life	B02BA01
Ka-vit	B02BA01
Kabiven	B05BA10
Kabiven Perifer	B05BA10
Kadcyla	L01XC14
Kajos	A12BA02
Kalcipos-Vitamin D	A12AX
Kaleorid	A12BA01
Kaletra	J05AR10
Kalii Phosphas	B05XA06
Kalium hausmann	A12BA30
Kalium-Natrium-Glucose Braun	B05BB02
Kaliumjodid Recip	V03AB21
Kaliumklorid B. Braun	B05XA01
Kaliumklorid SA	A12BA01
Kaliumpermanganat NAF	D08AX06
Kalsium med Vitamin D3 Farmagon	A12AX
Kalsiumfolinat Pfizer	V03AF03
Kalsiumfolinat SA	V03AF03
Kalsiumlaktat SA	A12AX
Kalydeco	R07AX02
Kamfer- og lakrismikstur NAF	R05CA10
Kamferdråper NAF	V03AX
Kamfermikstur NAF	R05CA10
Kamferspiritus NAF	D10A
Kandesartan Farmagon	C09CA06
Kandesartan-Hydroklortiazid Farmagon	C09DA06
Kaptopril SA	C09AA01
Kaptopril ullevål	C09AA01
Kapvay	N02CX02
Karbakolin NAF	N07AB01
Karbakolinklorid	N07AB01
Karbamid NAF	D02AE01
Karbamid SA	V04C
Karbamid til oppløsning SA	V04C
Karbolytt	B05BB02
Katadolon	N02BG07
Keflex	J01DB01
Keflin	J01DB03
Kelocyanor	V03AB03
Kemadrin	N04AA04
Kemicetine Succinate	J01BA01
Kenacort A 10	H02AB08
Kenacort A Orabase	A01AC01
Kenacort-T	H02AB08
Kentera	G04BD04
Kepivance	V03AF08
Keppra	N03AX14
Kestine	R06AX22
Ketalar	N01AX03
Ketanest	N01AX14
Ketanest S	N01AX14
Ketek	J01FA15
Ketensin	C02KD01
Ketesse	M01AE17
Ketobemidon	N02AB01
Ketobemidon rikshosp	N02AB01
Ketobemidonhydroklorid	N02AB01
Ketogan	N02AG02
Ketokonazol Teva	D01AC08
Ketokonazol ratiopharm	D01AC08
Ketorax	N02AB01
Ketovite	A11EX
Ketovite Liquid	A11JA
Ketovite euromedica	A11EX
Kidrolase	L01XX02
Kineret	L04AC03
Kinin	P01BC01
Kinin NAF	P01BC01
Kiovig	J06BA02
Kivexa	J05AR02
Klacid	J01FA09
Klacid OD	J01FA09
Klar kamferolje NAF	M02AX10
Klean-Prep	A06AD65
Klexane	B01AB05
Kliogest N	G03FA01
Klobasam SA	N05BA09
Klobazam SA	N05BA09
Klobetasol	A01AC
Klomipramin Mylan	N06AA04
Klonidin SA	N02CX02
Klonidinhydroklorid	N02CX02
Klopidogrel	B01AC04
Klopidogrel SA	B01AC04
Kloralhydrat SA	N05CC01
Kloramfenikol	S01AA01
Kloramfenikol Minims	S01AA01
Kloramfenikol NAF	S02AA01
Klorheksidin Baggerman	D08AC02
Klorheksidin Sage	D08AC02
Klorheksidindiglukonat SA	A01AB03
Klorhexidin Fresenius Kabi	D08AC02
Klorhexidin SA	S01AX09
Klorhexidinsprit Fresenius Kabi	D08AC02
Klorhexidinsprit farget Fresenius Kabi	D08AC02
Klorokinfosfat SA	P01BA
Klorpromazin SA	N05AA01
Klotrimazol Mylan	D01AC01
Klyx	A06AG10
Kodein	R05DA04
Kodein/paracetamol ullevål	N02AA59
Kodimagnyl Ikke-Stoppende	N02BA51
Koffein NAF	N06BC01
Koffein SA	N06BC01
Koffein/difenhydramin SA	R06AA52
Kogenate Bayer	B02BD02
Kohle-Compretten	A07BA01
Kokain SA	S01HA01
Kolkisin NAF	M04AC01
Komboglyze	A10BD10
Konakion Novum	B02BA01
Kortison SA	H02AB10
Kredex	C07AG02
Kreon	A09AA02
Kreon 25000	A09AA02
Kreon fur kinder	A09AA02
Krystallfiolett NAF	D01AE02
Kull Abigo	A07BA01
Kuvan	A16AX07
Kytril	A04AA02
L-Arginine	B05XB01
L-Carn	A16AA01
L-Glutamine	A16AA03
L-Phenylalanine	A16AA
L-Thyrox	H03AA01
L-Thyroxin	H03AA01
L-Thyroxine	H03AA01
L-Tryptophan	N06AX02
L-Tyrosine	A16AA
L-Valine SA	A16AA
L-glutamin	A16AA03
L-isoleucine SA	A16AA
Lacril	S01XA20
Lacrisert	S01XA20
Lacrisert euromedica	S01XA20
Lacteol	A07FA01
Lakrismikstur NAF	R05CA10
Laktulose MIP Pharma	A06AD11
Lamictal	N03AX09
Lamisil	D01BA02
Lamisil DermGel	D01AE15
Lamotrigin Actavis	N03AX09
Lanoxin	C01AA05
Lansoprazol Krka	A02BC03
Lansoprazol Pensa	A02BC03
Lansoprazol ratiopharm	A02BC03
Lantus	A10AE04
Lanvis	L01BB03
Lanvis Euromedica	L01BB03
Lanvis life	L01BB03
Lanzo Melt	A02BC03
Largactil	N05AA01
Largactil life	N05AA01
Largactil specific	N05AA01
Lariam	P01BC02
Lasix Retard	C03CA01
Lassars pasta NAF	D02AB
Lastin	R01AC03
Latanoprost Sandoz	S01EE01
Latanoprost/Timolol Pfizer	S01ED51
Latiotim	S01ED51
Latuda	N05AE05
Laxabon	A06AD65
Laxoberal	A06AB08
Lecrolyn	S01GX01
Ledermix	A01AC01
Ledermix komb pakn	A01AC01
Ledermix kombinasjonspakning	A01AC01
Lederspan	H02AB08
Leflunomide medac	L04AA13
Legalon sil	A05BA03
Lemtrada	L01XC04
Leponex	N05AH02
Leppesalve med gul vaselin SA	V07A
Leptanal	N01AH01
Lerkanidipin Actavis	C08CA13
Lescol	C10AA04
Lescol Depot	C10AA04
Lestid	C10AC02
Letrozol Accord	L02BG04
Letrozol Mylan	L02BG04
Letrozol Orifarm	L02BG04
Letrozol Teva	L02BG04
Leukeran	L01AA02
Leuprorelin Sandoz	L02AE02
Leustatin	L01BB04
Levact	L01AA09
Levaxin	H03AA01
Levaxin u/laktose	H03AA01
Levemir	A10AE05
Levemir InnoLet	A10AE05
Levetiracetam Accord	N03AX14
Levetiracetam Aspen	N03AX14
Levetiracetam Desitin	N03AX14
Levetiracetam Teva	N03AX14
Levitra	G04BE09
Levofloxacin	J01MA12
Levofloxacin B.Braun	J01MA12
Levofloxacin life	J01MA12
Levofolinsyre medac	V03AF10
Levokarnitin SA	A16AA01
Levolac	A06AD11
Levomepromazin	N05AA02
Levomepromazine Orion	N05AA02
Levometadon DnE	N07BC05
Levothroid	H03AA01
Levothyroxinnatrium	H03AA01
Lexotanil	N05BA08
Li-liquid	N05AN01
Librax	A03CA02
Librium	N05BA02
Lidocaine	C01BB01
Lidocaine & Fluorescein Minims specific	S01JA51
Lidocaine Hydrochloride	C01BB01
Lidocaine Hydrochloride viskøs	N01BB02
Lidocaine Minijet	C01BB01
Lidocaine and Fluorescein Minims	S01JA51
Lidocaine hydrochloride	C01BB01
Lidocaine life	N01BB02
Lidoderm	N01BB02
Lidokain	C01BB01
Lidokain FarmaPlus	N01BB02
Lidokain SA	N01BB02
Lidokain-Adrenalin NAF	N01BB52
Linatil	C09AA02
Link	A02AD01
Liometacen	M01AB01
Lioresal	M03BX01
Liothyronin	H03AA02
Lipanthyl	C10AB05
Lipidem	B05BA02
Lipiodol Ultra Fluid	V08AD01
Lipitor	C10AA05
Lipoic Plus	A11
Liposomal  vitamin C	A11
Liposomal B12/Methylfolate	B03BA
Liposomal Glutathione	V03AB32
Liposomal Hormone	G03BA03
Lipostabil N	V03AX
Lisinopril ratiopharm	C09AA03
Lisinopril/Hydrochlorthiazid Sandoz	C09BA03
Lisinopril/Hydroklortiazid Actavis	C09BA03
Liskantin	N03AA03
Litak	L01BB04
Litarex	N05AN01
Lithionit	N05AN01
Litican	A03FA05
Litiumkarbonat	N05AN01
Livalo	C10AA08
Livertone	V06DX
Livial	G03CX01
Livopan	N01AX63
Livostin	S01GX02
Locacorten-Vioform	S02CA02
Loceryl	D01AE16
Locoid	D07AB02
Locoid Crelo	D07AB02
Locoid Lipid	D07AB02
Locorten Vioform	S02CA02
Lodotra	H02AB07
Lodoz	C07BB07
Loette 28	G03AA07
Lofepramine	N06AA07
Lomir	C08CA03
Lomir SRO	C08CA03
Lomotil	A07DA01
Lomudal	S01GX01
Lomudal Nasal	R01AC01
Lomustine	L01AD02
Loniten	C02DC01
Lonquex	L03AA14
Lopacut	A07DA03
Loperamid Mylan	A07DA03
Lopid	C10AB04
Loratadin Hexal	R06AX13
Loratadin Orifarm	R06AX13
Loratadin ratiopharm	R06AX13
Lorazepam	N05BA06
Losartan Krka	C09CA01
Losartan Orifarm	C09CA01
Losartan Teva	C09CA01
Losartan/Hydrochlorothiazide Bluefish	C09DA01
Losartan/Hydrochlorothiazide Krka	C09DA01
Losartan/Hydrochlorothiazide Sandoz	C09DA01
Losartan/Hydrochlorothiazide Teva	C09DA01
Losartan/hydroklortiazid Orifarm	C09DA01
Losec	A02BC01
Losec MUPS	A02BC01
Lovastatin ratiopharm	C10AA02
Lucentis	S01LA04
Ludiomil	N06AA21
Lugols væske SA	H03CA
Lumigan	S01EE03
Lunelax	A06AC01
Lutinus	G03DA04
Lutrate Depot	L02AE02
Luveris	G03GA07
Lymecyclin Actavis	J01AA04
Lyogen	N05AB02
Lyovac Cosmegen	L01DA01
Lyrica	N03AX16
Lyrinel XL	G04BD04
Lysantin	N04AB02
Lysodren	L01XX23
Lyxumia	A10BX10
Lyxumia Oppstartspakning	A10BX10
M-M-Rvaxpro	J07BD52
Maalox	A02AD01
MabThera	L01XC02
Macrodex 60 mg/ml med Natriumklorid	B05AA05
Macrodex med natriumklorid	B05AA05
Madopar 12,5/50	N04BA02
Madopar 25/100	N04BA02
Madopar Depot 25/100	N04BA02
Madopar Solubile 12,5/50	N04BA02
Maglyphos	A12CC
Magnesia	A02AA04
Magnesium Chloride	A12CC01
Magnesium-Diasporal	A12CC10
Magnesiumoksid SA	A12CC10
Magnesiumsitrat SA	A12CC04
Magnesiumsulfat B. Braun	B05XA05
Magnesiumsulfat SA	B05XA05
Magnevist	V08CA01
Magnyl-E	B01AC06
Malarone	P01BB51
Malarone Junior	P01BB51
Malation	P03AX03
Malfin	N02AA01
Mannitol	B05BC01
Mannitol B. Braun	B05BC01
Mannitol Baxter Viaflo	B05BC01
Marcain	N01BB01
Marcain Spinal	N01BB01
Marcain Spinal Tung	N01BB01
